panel,run,case,implementation,s1,s2,s3,s4,alpha,p00,p01,p10,p11,theory_u1,theory_u2,measured_u1,measured_u2,common_payoff,payoff_asymmetry,squared_distance_to_theory
B,1,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.01171875,0.4892578125,0.4931640625,0.005859375,0.5,0.5,0.503125,0.49921875,0.501171875,0.0039062500000000555,1.0375976562500296e-05
B,2,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0087890625,0.5107421875,0.4755859375,0.0048828125,0.5,0.5,0.483154296875,0.518310546875,0.500732421875,-0.03515625,0.000619053840637207
B,3,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0087890625,0.4853515625,0.5,0.005859375,0.5,0.5,0.507763671875,0.493115234375,0.500439453125,0.014648437500000056,0.0001076745986938485
B,4,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.009765625,0.48046875,0.50390625,0.005859375,0.5,0.5,0.51240234375,0.48896484375,0.50068359375,0.023437500000000056,0.00027559280395507944
B,5,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0107421875,0.4951171875,0.4833984375,0.0107421875,0.5,0.5,0.493603515625,0.505322265625,0.49946289062500004,-0.011718750000000056,6.92415237426764e-05
B,6,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.009765625,0.509765625,0.470703125,0.009765625,0.5,0.5,0.47998046875,0.51904296875,0.49951171875,-0.0390625,0.0007634162902832031
B,7,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.005859375,0.4814453125,0.505859375,0.0068359375,0.5,0.5,0.51162109375,0.48720703125,0.4994140625,0.0244140625,0.00029870986938476565
B,8,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0107421875,0.470703125,0.5048828125,0.013671875,0.5,0.5,0.515673828125,0.481494140625,0.49858398437499996,0.034179687499999944,0.0005881357192993146
B,9,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0048828125,0.4814453125,0.50390625,0.009765625,0.5,0.5,0.509521484375,0.487060546875,0.498291015625,0.0224609375,0.0002580881118774414
B,10,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0068359375,0.4853515625,0.4990234375,0.0087890625,0.5,0.5,0.505908203125,0.492236328125,0.49907226562499996,0.013671874999999944,9.518146514892508e-05
B,11,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.005859375,0.5029296875,0.484375,0.0068359375,0.5,0.5,0.49013671875,0.50869140625,0.4994140625,-0.0185546875,0.00017282485961914068
B,12,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0078125,0.5087890625,0.478515625,0.0048828125,0.5,0.5,0.4853515625,0.515625,0.50048828125,-0.0302734375,0.00045871734619140625
B,13,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0068359375,0.490234375,0.4912109375,0.01171875,0.5,0.5,0.498681640625,0.497705078125,0.498193359375,0.0009765625,7.004737854004066e-06
B,14,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.005859375,0.5009765625,0.486328125,0.0068359375,0.5,0.5,0.49208984375,0.50673828125,0.4994140625,-0.0146484375,0.00010797500610351568
B,15,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.00390625,0.474609375,0.51953125,0.001953125,0.5,0.5,0.5228515625,0.4779296875,0.500390625,0.044921875,0.0010092926025390624
B,16,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0068359375,0.4931640625,0.4912109375,0.0087890625,0.5,0.5,0.498095703125,0.500048828125,0.49907226562499996,-0.0019531249999999445,3.628730773925735e-06
B,17,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0126953125,0.51171875,0.4697265625,0.005859375,0.5,0.5,0.480419921875,0.522412109375,0.501416015625,-0.041992187500000056,0.0008856821060180687
B,18,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0068359375,0.4794921875,0.5048828125,0.0087890625,0.5,0.5,0.511767578125,0.486376953125,0.49907226562499996,0.025390624999999944,0.00032406330108642443
B,19,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0126953125,0.4716796875,0.5087890625,0.0068359375,0.5,0.5,0.519677734375,0.482568359375,0.501123046875,0.037109375,0.0006910753250122069
B,20,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.009765625,0.4736328125,0.509765625,0.0068359375,0.5,0.5,0.51845703125,0.48232421875,0.500390625,0.0361328125,0.0006530952453613281
B,21,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0068359375,0.4912109375,0.4921875,0.009765625,0.5,0.5,0.499267578125,0.498291015625,0.498779296875,0.0009765625,3.4570693969726562e-06
B,22,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.005859375,0.4921875,0.49609375,0.005859375,0.5,0.5,0.50166015625,0.49775390625,0.49970703125000004,0.0039062500000000555,7.801055908203323e-06
B,23,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.005859375,0.5185546875,0.4658203125,0.009765625,0.5,0.5,0.47216796875,0.52490234375,0.49853515625,-0.052734375,0.0013947486877441406
B,24,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0068359375,0.4775390625,0.509765625,0.005859375,0.5,0.5,0.516064453125,0.483837890625,0.49995117187500004,0.032226562500000056,0.000519280433654787
B,25,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0068359375,0.5107421875,0.474609375,0.0078125,0.5,0.5,0.481298828125,0.517431640625,0.499365234375,-0.0361328125,0.0006535959243774413
B,26,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.005859375,0.5078125,0.4765625,0.009765625,0.5,0.5,0.48291015625,0.51416015625,0.49853515625,-0.03125,0.0004925727844238281
B,27,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.01171875,0.494140625,0.4912109375,0.0029296875,0.5,0.5,0.5005859375,0.503515625,0.50205078125,-0.0029296875,1.2702941894531433e-05
B,28,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.009765625,0.484375,0.494140625,0.01171875,0.5,0.5,0.50380859375,0.49404296875,0.49892578125,0.009765625,4.999160766601572e-05
B,29,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0078125,0.4833984375,0.5,0.0087890625,0.5,0.5,0.5076171875,0.491015625,0.49931640624999996,0.016601562499999944,0.00013874053955078037
B,30,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0009765625,0.513671875,0.4736328125,0.01171875,0.5,0.5,0.476708984375,0.516748046875,0.496728515625,-0.0400390625,0.0008229684829711918
B,31,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.00390625,0.4912109375,0.4990234375,0.005859375,0.5,0.5,0.503125,0.4953125,0.49921875000000004,0.007812500000000056,3.173828125000038e-05
B,32,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0087890625,0.46875,0.515625,0.0068359375,0.5,0.5,0.523583984375,0.476708984375,0.500146484375,0.046875,0.0010986757278442384
B,33,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0087890625,0.44921875,0.533203125,0.0087890625,0.5,0.5,0.541552734375,0.457568359375,0.49956054687499996,0.08398437499999994,0.0035270738601684525
B,34,"Case 3a(i) (PD), pure",pure,0.75,0.0,1.0,0.2,pi/4,0.0078125,0.494140625,0.4912109375,0.0068359375,0.5,0.5,0.4984375,0.5013671875,0.49990234375,-0.0029296875,4.310607910156259e-06
