panel,run,case,implementation,s1,s2,s3,s4,alpha,p00,p01,p10,p11,theory_u1,theory_u2,measured_u1,measured_u2,common_payoff,payoff_asymmetry,squared_distance_to_theory
C,1,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.49609375,0.0185546875,0.0048828125,0.48046875,0.625,0.625,0.619140625,0.6328125,0.6259765625,-0.013671875,9.5367431640625e-05
C,2,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4921875,0.0107421875,0.01171875,0.4853515625,0.625,0.625,0.6243896484375,0.6234130859375,0.6239013671875,0.0009765625,2.8908252716064453e-06
C,3,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4921875,0.0126953125,0.0068359375,0.48828125,0.625,0.625,0.62060546875,0.62646484375,0.62353515625,-0.005859375,2.1457672119140625e-05
C,4,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.498046875,0.01171875,0.0087890625,0.4814453125,0.625,0.625,0.6251220703125,0.6280517578125,0.6265869140625,-0.0029296875,9.328126907348633e-06
C,5,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4873046875,0.0126953125,0.009765625,0.490234375,0.625,0.625,0.6199951171875,0.6229248046875,0.6214599609375,-0.0029296875,2.9355287551879883e-05
C,6,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.494140625,0.0087890625,0.01171875,0.4853515625,0.625,0.625,0.6260986328125,0.6231689453125,0.6246337890625,0.0029296875,4.559755325317383e-06
C,7,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.498046875,0.01171875,0.005859375,0.484375,0.625,0.625,0.623291015625,0.629150390625,0.626220703125,-0.005859375,2.014636993408203e-05
C,8,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.494140625,0.017578125,0.009765625,0.478515625,0.625,0.625,0.62158203125,0.62939453125,0.62548828125,-0.0078125,3.0994415283203125e-05
C,9,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.5009765625,0.0087890625,0.0078125,0.482421875,0.625,0.625,0.6270751953125,0.6280517578125,0.6275634765625,-0.0009765625,1.3619661331176758e-05
C,10,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4892578125,0.0185546875,0.013671875,0.478515625,0.625,0.625,0.6212158203125,0.6260986328125,0.6236572265625,-0.0048828125,1.5527009963989258e-05
C,11,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.501953125,0.0126953125,0.005859375,0.4794921875,0.625,0.625,0.6248779296875,0.6317138671875,0.6282958984375,-0.0068359375,4.509091377258301e-05
C,12,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.498046875,0.009765625,0.0087890625,0.4833984375,0.625,0.625,0.6258544921875,0.6268310546875,0.6263427734375,-0.0009765625,4.082918167114258e-06
C,13,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4990234375,0.009765625,0.0087890625,0.482421875,0.625,0.625,0.6263427734375,0.6273193359375,0.6268310546875,-0.0009765625,7.18235969543457e-06
C,14,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.494140625,0.0107421875,0.005859375,0.4892578125,0.625,0.625,0.6217041015625,0.6265869140625,0.6241455078125,-0.0048828125,1.3381242752075195e-05
C,15,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.5029296875,0.009765625,0.005859375,0.4814453125,0.625,0.625,0.62646484375,0.63037109375,0.62841796875,-0.00390625,3.0994415283203125e-05
C,16,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.5009765625,0.009765625,0.0087890625,0.48046875,0.625,0.625,0.6273193359375,0.6282958984375,0.6278076171875,-0.0009765625,1.6242265701293945e-05
C,17,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4921875,0.0146484375,0.0087890625,0.484375,0.625,0.625,0.62109375,0.626953125,0.6240234375,-0.005859375,1.9073486328125e-05
