panel,run,case,implementation,s1,s2,s3,s4,alpha,p00,p01,p10,p11,theory_u1,theory_u2,measured_u1,measured_u2,common_payoff,payoff_asymmetry,squared_distance_to_theory
A,1,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.01171875,0.4892578125,0.4931640625,0.005859375,0.8,0.8,0.7896484374999999,0.7880859375,0.7888671875,0.0015624999999999112,0.00024909973144531634
A,2,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.5107421875,0.4755859375,0.0048828125,0.8,0.8,0.784228515625,0.798291015625,0.791259765625,-0.014062500000000089,0.0002516603469848661
A,3,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.4853515625,0.5,0.005859375,0.8,0.8,0.793408203125,0.787548828125,0.790478515625,0.005859375,0.00019848346710205078
A,4,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.009765625,0.48046875,0.50390625,0.005859375,0.8,0.8,0.79462890625,0.7852539062499999,0.78994140625,0.009375000000000133,0.000246295928955082
A,5,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0107421875,0.4951171875,0.4833984375,0.0107421875,0.8,0.8,0.783154296875,0.787841796875,0.785498046875,-0.004687499999999956,0.0004315996170043956
A,6,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.009765625,0.509765625,0.470703125,0.009765625,0.8,0.8,0.77900390625,0.79462890625,0.78681640625,-0.015625,0.0004696846008300781
A,7,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.005859375,0.4814453125,0.505859375,0.0068359375,0.8,0.8,0.79619140625,0.78642578125,0.79130859375,0.009765625,0.00019876480102539373
A,8,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0107421875,0.470703125,0.5048828125,0.013671875,0.8,0.8,0.789990234375,0.776318359375,0.783154296875,0.013671875,0.000661015510559082
A,9,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0048828125,0.4814453125,0.50390625,0.009765625,0.8,0.8,0.793994140625,0.7850097656249999,0.7895019531249999,0.008984375000000044,0.00026077747344971207
A,10,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0068359375,0.4853515625,0.4990234375,0.0087890625,0.8,0.8,0.791943359375,0.7864746093749999,0.789208984375,0.005468750000000133,0.00024784564971924185
A,11,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.005859375,0.5029296875,0.484375,0.0068359375,0.8,0.8,0.78759765625,0.7950195312499999,0.79130859375,-0.007421874999999911,0.00017862319946289305
A,12,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0078125,0.5087890625,0.478515625,0.0048828125,0.8,0.8,0.7857421874999999,0.7978515625,0.791796875,-0.012109375000000089,0.00020790100097656648
A,13,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0068359375,0.490234375,0.4912109375,0.01171875,0.8,0.8,0.787060546875,0.786669921875,0.786865234375,0.0003906250000000888,0.00034512042999267816
A,14,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.005859375,0.5009765625,0.486328125,0.0068359375,0.8,0.8,0.78837890625,0.79423828125,0.79130859375,-0.005859375,0.00016824722290039373
A,15,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.00390625,0.474609375,0.51953125,0.001953125,0.8,0.8,0.8052734374999999,0.7873046875,0.7962890625,0.017968749999999867,0.0001889801025390611
A,16,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0068359375,0.4931640625,0.4912109375,0.0087890625,0.8,0.8,0.788818359375,0.789599609375,0.789208984375,-0.0007812499999999556,0.00023319721221924113
A,17,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0126953125,0.51171875,0.4697265625,0.005859375,0.8,0.8,0.779931640625,0.7967285156249999,0.788330078125,-0.016796874999999933,0.0004134416580200231
A,18,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0068359375,0.4794921875,0.5048828125,0.0087890625,0.8,0.8,0.7942871093749999,0.784130859375,0.789208984375,0.010156249999999867,0.0002844667434692398
A,19,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0126953125,0.4716796875,0.5087890625,0.0068359375,0.8,0.8,0.794970703125,0.7801269531249999,0.7875488281249999,0.014843750000000044,0.00042023181915283825
A,20,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.009765625,0.4736328125,0.509765625,0.0068359375,0.8,0.8,0.79638671875,0.78193359375,0.78916015625,0.014453124999999956,0.00033945083618164095
A,21,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0068359375,0.4912109375,0.4921875,0.009765625,0.8,0.8,0.788623046875,0.788232421875,0.7884277343749999,0.0003906249999999778,0.00026791095733642937
A,22,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.005859375,0.4921875,0.49609375,0.005859375,0.8,0.8,0.79287109375,0.79130859375,0.7920898437499999,0.0015625000000000222,0.00012636184692383062
A,23,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.005859375,0.5185546875,0.4658203125,0.009765625,0.8,0.8,0.7784179687499999,0.79951171875,0.78896484375,-0.021093750000000133,0.0004660224914550839
A,24,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0068359375,0.4775390625,0.509765625,0.005859375,0.8,0.8,0.797998046875,0.785107421875,0.791552734375,0.012890624999999933,0.00022579669952392604
A,25,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0068359375,0.5107421875,0.474609375,0.0078125,0.8,0.8,0.782763671875,0.7972167968749999,0.7899902343749999,-0.014453124999999956,0.0003048372268676796
A,26,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.005859375,0.5078125,0.4765625,0.009765625,0.8,0.8,0.78271484375,0.79521484375,0.78896484375,-0.012499999999999956,0.0003216743469238305
A,27,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.01171875,0.494140625,0.4912109375,0.0029296875,0.8,0.8,0.7906249999999999,0.791796875,0.7912109374999999,-0.0011718750000000444,0.00015518188476562896
A,28,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.009765625,0.484375,0.494140625,0.01171875,0.8,0.8,0.7872070312499999,0.7833007812499999,0.7852539062499999,0.00390625,0.000442523956298836
A,29,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0078125,0.4833984375,0.5,0.0087890625,0.8,0.8,0.7919921875,0.7853515625,0.788671875,0.006640624999999956,0.0002787017822265632
A,30,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0009765625,0.513671875,0.4736328125,0.01171875,0.8,0.8,0.7820800781249999,0.798095703125,0.790087890625,-0.01601562500000009,0.00032474994659424325
A,31,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.00390625,0.4912109375,0.4990234375,0.005859375,0.8,0.8,0.7947265625,0.7916015624999999,0.7931640624999999,0.0031250000000000444,9.834289550781568e-05
A,32,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.46875,0.515625,0.0068359375,0.8,0.8,0.799072265625,0.780322265625,0.789697265625,0.018750000000000044,0.00038807392120361687
